tnt,effect_class,fuse_declared,method,baseline_avg_mspt,peak_avg_mspt,peak_p99_mspt,mean_avg_mspt,worst_wall_ms_per_tick,ticks_observed,wall_seconds,peak_entities,fell_behind
tnt_x10000,TNTXStrengthEffect,480,block+redstone,1.2,242.4,24091.5,31.175,12077.1,800,64.05,4,1
hydrogen_bomb,DropProjectileTNTEffect,80,block+redstone,1.267,123.0,12093.9,31.655,6079.4,400,31.96,4,1
tsar_bomba,DropProjectileTNTEffect,80,block+redstone,2.056,73.2,6972.6,18.922,3520.9,397,26.72,4,1
colossal_tnt,ColossalTNTEffect,400,block+redstone,1.067,67.1,6601.1,10.043,6638.1,719,42.51,4,1
tnt_x2000,TNTXStrengthEffect,400,block+redstone,1.111,43.6,4232.5,6.894,4256.1,717,39.96,4,1
flying_tnt,StackedPrimedTNTEffect,200,block+redstone,1.811,42.9,4146.4,13.208,1424.7,347,21.45,4,1
nether_tnt,NetherTNTEffect,180,block+redstone,1.089,36.2,3152.5,8.142,826.6,496,27.88,4,1
supernova,SupernovaEffect,300,block+redstone,1.078,25.0,2394.6,4.718,833.6,616,33.12,4,1
jungle_tnt,JungleTNTEffect,160,block+redstone,1.533,21.3,1994.4,5.682,539.8,306,15.29,4,1
atlantis,AtlantisEffect,240,block+redstone,1.478,36.8,1634.9,8.457,588.5,706,35.33,43,1
hyperion,HyperionEffect,140,block+redstone,1.622,17.3,1568.5,5.34,444.6,290,14.47,4,1
black_hole_tnt,BlackHoleTNTEffect,500,block+redstone,2.256,37.8,1433.9,11.29,754.5,816,40.81,2001,1
giant_tnt,GiantTNTEffect,320,block+redstone,0.911,14.5,1349.3,2.597,310.7,637,31.88,4,1
winter_tnt,WinterTNTEffect,200,block+redstone,1.278,27.4,1217.8,14.064,453.6,347,17.34,2040,1
stone_cold,StoneColdEffect,140,block+redstone,1.4,12.5,1121.0,4.407,327.7,288,14.4,4,1
flat_earth,FlatTNTEffect,80,block+redstone,0.978,11.4,1030.8,3.687,378.6,318,15.91,4,1
hungry_tnt,HungryTNTEffect,600,block+redstone,1.2,10.7,969.2,1.87,980.9,918,45.88,4,1
pulsar_tnt,PulsarTNTEffect,400,block+redstone,1.422,27.4,848.6,5.452,633.3,716,35.77,4,1
aether_tnt,AetherTNTEffect,200,block+redstone,1.511,8.5,750.8,2.26,229.3,517,25.87,4,1
fluorine_tnt,FluorineTNTEffect,400,block+redstone,1.133,42.2,739.1,11.166,396.1,718,35.89,4,1
tnt_x500,TNTXStrengthEffect,240,block+redstone,1.2,8.4,738.0,2.238,228.3,558,27.91,4,1
nuclear_tnt,NuclearTNTEffect,200,block+redstone,1.233,8.6,736.1,2.525,291.7,517,25.86,7,1
levitating_tnt,StackedPrimedTNTEffect,160,block+redstone,0.911,8.0,708.2,2.953,217.0,308,15.38,4,1
russian_roulette,RussianRouletteEffect,160,block+redstone,2.456,6.8,556.9,2.744,185.0,309,15.46,4,1
wither_storm,WitherStormEffect,160,block+redstone,1.111,11.9,485.3,3.93,171.6,2998,149.89,180,1
fiery_hell,FieryHellEffect,240,block+redstone,1.033,7.1,479.2,2.389,195.5,556,27.8,16,1
graveyard_tnt,StackedPrimedTNTEffect,80,block+redstone,0.989,5.3,440.3,2.691,156.7,226,11.31,4,1
dividing_tnt,DividingTNTEffect,80,block+redstone,1.067,7.2,397.8,3.016,150.3,278,13.9,103,1
sculk_tnt,SculkTNTEffect,80,block+redstone,1.478,5.0,378.6,2.628,397.4,229,11.47,4,1
flower_forest_tnt,FlowerForestTNTEffect,160,block+redstone,0.9,4.7,373.6,1.999,134.5,309,15.46,4,1
illuminati_tnt,IlluminatiTNTEffect,120,block+redstone,2.367,4.9,357.8,2.491,138.2,269,13.44,4,1
particle_physics_tnt,ParticlePhysicsTNTEffect,160,block+redstone,1.278,88.8,352.8,14.412,276.8,1755,89.84,5848,1
animal_tnt,AnimalTNTEffect,80,block+redstone,1.1,15.8,339.6,5.32,438.9,1338,66.92,101,1
